maroon,teal,gold,orange,green,yellow,red,blue,purple,pink,brown,crimson,cyan,magenta,lime,olive,navy,silver,black,grey,coral,darkblue,darkgreen,darkred,darkviolet,darkorange,darkcyan,darkmagenta,darkturquoise,deeppink,dodgerblue,firebrick,forestgreen,fuchsia,goldenrod,greenyellow,hotpink,indianred,khaki,lawngreen,lightblue,lightcoral,lightgreen,lightpink,lightsalmon,lightseagreen,lightskyblue,lightslategray,lightsteelblue,limegreen,mediumaquamarine,mediumblue,mediumorchid,mediumpurple,mediumseagreen,mediumslateblue,mediumspringgreen,mediumturquoise,mediumvioletred,midnightblue,mistyrose,indigo
"adams, pamela","afuah, allan","ahvari, hooman","antorini, yun mi","arvanitis, spyros","awazu, yukika","bae, zong tae","bilgram, volker","björk, jennie","blohm, ivo","bortoluzzi, guido","bradonjic, philip","buganza, tommaso","cao, xinyan","chandra, yanto","chatterji, aaron k.","chou, jerome chih lung","crocco, edoardo","cui, miao","dahlander, linus","di gangi, paul m.","faulkner, philip","fritzsche, albrecht","fursov, konstantin","giachetti, claudio","globocnik, dietfried","goduscheit, rené chester","haller, jörg b.a.","harrison, debbie","hassan, salah s.","helminen, pia","hicks, christian","hu, suya","hu, yansong","jahanmir, sara f.","janzik, lars","kankanhalli, atreyi","kim, jieun","koch, stefan","lauritzen, ghita dragsdahl","leidner, dorothy e.","leminen, seppo","liang, hua","liao, xiao","lu, yaobin","miyazawa, jun ichi","mukherjee, satyam","nielsen, kristian roed","o'hern, matthew","oliveira, pedro","pasquini, martina","peine, alexander","schaarschmidt, mario","scheid, françois","schmidt-keilich, marc","schulz, michael","shin, hyun","smith, sheryl winston","stanko, michael a.","svensson, peter o.","von hippel, christiana d.","wang, yonggui"
"fontana, roberto","bastian, bettina","ekhlassi, amir","jensen, morten berg","fuchs, barbara","ramaprasad, arkalgud","kang, shin hyung","gutstein, adele","magnusson, mats","bretschneider, ulrich","yordanova, zornitsa","franke, nikolaus","dell'era, claudio","fang, xiang","leenders, mark a.a.m.","fabrizio, kira","dong, tse ping","culasso, francesca","liu, yan","piezunka, henning","wasko, molly","runde, jochen","moeslein, kathrin m.","linton, jonathan","de gennaro, pamela","faullant, rita","jørgensen, jacob høj","möslein, kathrin m.","waluszewski, alexandra","mourad, maha","freeman, stephanie","pachamanova, dessislava","xu, di","mcloughlin, damien","lages, luis filipe","raasch, christina","kim, seung hyun","park, yongtae","artmayr, philipp","la cour, anders","benbya, hind","nyström, anna greta","zhang, zongyi","xi, yunjiang","gupta, sumeet","takahashi, shingo","jain, tarun","reisch, lucia a.","ye, jun","veloso, francisco","verona, gianmario","herrmann, andrea m.","kilian, thomas","charue-duboc, florence","schrader, ulf","völckner, franziska","rao, p. m.","shah, sonali k.","allen, b. j.","hartmann, rasmus koss","cann, andrew b.","li, dahui"
"malerba, franco","bogers, marcel","mcdonagh, joe","nørskov, sladjana","woerter, martin","desouza, kevin c.","kim, joong hyun","marchuk, anna","sandström, gunilla ölundh","krcmar, helmut","escobar, octavio","lüthje, christian","pellizzoni, elena","yang, yu",,,"hung, chia liang","giacosa, elisa","qian, jinfang",,,,"naik, hari suman","nefedova, alena","marchi, gianluca",,,"schneckenberg, dirk",,"tolba, ahmed h.","johnson, mikael",,,,,,"teo, hock hai",,"bierbamer, michael","salomo, søren","yan, jie (kevin)","westerlund, mika",,"ye, guangyu","ma, jifeng","yoshida, daichi",,"thøgersen, john","wu, jiajun","van der boor, paul","prandelli, emanuela",,,,,,"shin, jongtae",,,,,
,"west, joel",,,,,,"brem, alexander","wadell, carl","marco, jan leimeister","villasalero, manuel","dahl, darren w.","trabucchi, daniel","chai, ruirui",,,,"yahiaoui, dorra",,,,,,"thurner, thomas",,,,"velamuri, vivek k.",,,"juntunen, jouni k.",,,,,,"ye, hua jonathan",,"guceri-ucar, gozem",,,"pacauskas, darius",,"yu, juan",,,,,,,,,,,,,,,,,,
,,,,,,,"gladysz, bartosz",,,"ghasemzadeh, khatereh","fuchs, christoph",,"liu, wei",,,,,,,,,,,,,,,,,"mäkinen, samuli",,,,,,"li, mingguo",,"inanc, duygu",,,"mäntymäki, matti",,"zantow, kenneth",,,,,,,,,,,,,,,,,,
,,,,,,,"ernst, markus",,,,"schreier, martin",,,,,,,,,,,,,,,,,,,"hyysalo, sampsa",,,,,,"ye, hua",,,,,"rajala, risto",,,,,,,,,,,,,,,,,,,,
,,,,,,,"schulz, stefanie",,,,"keinz, peter",,,,,,,,,,,,,,,,,,,"usenyuk, svetlana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"klausberger, katharina",,,,,,,,,,,,,,,,,,,"kristensson, per",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"piller, frank t.",,,,,,,,,,,,,,,,,,,"trischler, jakob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"reinsberger, kathrin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
