maroon,teal,gold,orange,green,yellow,red,blue,purple,pink,brown,cyan,lime,olive,navy,silver,black,crimson,coral,darkblue,darkgreen,darkred,darkviolet,darkorange,darkturquoise,deeppink,dodgerblue,firebrick,fuchsia,goldenrod,greenyellow,forestgreen,indigo,magenta,grey,darkcyan,darkmagenta
"adams, pamela","afuah, allan","ahvari, hooman","antorini, yun mi","arvanitis, spyros","awazu, yukika","bae, zong tae","bilgram, volker","björk, jennie","blohm, ivo","bortoluzzi, guido","bradonjic, philip","buganza, tommaso","cao, xinyan","chou, jerome chih lung","crocco, edoardo","cui, miao","dahl, darren w.","fritzsche, albrecht","fursov, konstantin","giachetti, claudio","haller, jörg b.a.","hassan, salah s.","helminen, pia","kankanhalli, atreyi","koch, stefan","lauritzen, ghita dragsdahl","leidner, dorothy e.","leminen, seppo","liao, xiao","lu, yaobin","miyazawa, jun ichi","nielsen, kristian roed","o'hern, matthew","oliveira, pedro","pasquini, martina","shin, hyun"
"fontana, roberto","bastian, bettina","ekhlassi, amir","jensen, morten berg","fuchs, barbara","ramaprasad, arkalgud","kang, shin hyung","gutstein, adele","magnusson, mats","bretschneider, ulrich","yordanova, zornitsa","franke, nikolaus","dell'era, claudio","fang, xiang","dong, tse ping","culasso, francesca","liu, yan","fuchs, christoph","moeslein, kathrin m.","linton, jonathan","de gennaro, pamela","möslein, kathrin m.","mourad, maha","freeman, stephanie","kim, seung hyun","artmayr, philipp","la cour, anders","benbya, hind","nyström, anna greta","xi, yunjiang","gupta, sumeet","takahashi, shingo","reisch, lucia a.","ye, jun","veloso, francisco","verona, gianmario","rao, p. m."
"malerba, franco","bogers, marcel","mcdonagh, joe","nørskov, sladjana","woerter, martin","desouza, kevin c.","kim, joong hyun","marchuk, anna","sandström, gunilla ölundh","krcmar, helmut","escobar, octavio","lüthje, christian","pellizzoni, elena","yang, yu","hung, chia liang","giacosa, elisa","qian, jinfang","schreier, martin","naik, hari suman","nefedova, alena","marchi, gianluca","schneckenberg, dirk","tolba, ahmed h.","johnson, mikael","teo, hock hai","bierbamer, michael","salomo, søren","yan, jie (kevin)","westerlund, mika","ye, guangyu","ma, jifeng","yoshida, daichi","thøgersen, john","wu, jiajun","van der boor, paul","prandelli, emanuela","shin, jongtae"
,"west, joel",,,,,,"brem, alexander","wadell, carl","marco, jan leimeister","villasalero, manuel","keinz, peter","trabucchi, daniel","chai, ruirui",,"yahiaoui, dorra",,"von hippel, eric",,"thurner, thomas",,"velamuri, vivek k.",,"juntunen, jouni k.","ye, hua jonathan","guceri-ucar, gozem",,,"pacauskas, darius","yu, juan",,,,,,,
,,,,,,,"gladysz, bartosz",,,"ghasemzadeh, khatereh","klausberger, katharina",,"liu, wei",,,,"nishikawa, hidehiko",,,,,,"mäkinen, samuli","li, mingguo","inanc, duygu",,,"mäntymäki, matti","zantow, kenneth",,,,,,,
,,,,,,,"ernst, markus",,,,"piller, frank",,,,,,"ogawa, susumu",,,,,,"hyysalo, sampsa","ye, hua",,,,"rajala, risto",,,,,,,,
,,,,,,,"schulz, stefanie",,,,"piller, frank t.",,,,,,"oberhauser, stefan",,,,,,"usenyuk, svetlana",,,,,,,,,,,,,
,,,,,,,,,,,"reinsberger, kathrin",,,,,,"prügl, reinhard",,,,,,"kristensson, per",,,,,,,,,,,,,
,,,,,,,,,,,"schirg, florian",,,,,,"pongtanalert, kritinee",,,,,,"trischler, jakob",,,,,,,,,,,,,
,,,,,,,,,,,"hamdi-kidar, linda",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"le nagard, emmanuelle",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"vellera, cyrielle",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"vernette, eric",,,,,,,,,,,,,,,,,,,,,,,,,
