maroon,grey,gold,orange,green,yellow,red,blue,purple,pink,brown,indigo,cyan,magenta,lime,olive,navy,silver,black,crimson,coral,darkblue,darkgreen,darkred,darkorange,darkcyan,darkmagenta,darkturquoise,deeppink,darkviolet,teal
"afuah, allan","amft, andré","antorini, yun mi","awazu, yukika","bilgram, volker","blohm, ivo","bortoluzzi, guido","buganza, tommaso","cui, miao","dahlander, linus","ford, simon j.","fritzsche, albrecht","fuchs, christoph","fursov, konstantin","giachetti, claudio","globocnik, dietfried","goduscheit, rené chester","haller, jörg b.a.","hassan, salah s.","helminen, pia","janzik, lars","järvilehto, mikko","kankanhalli, atreyi","koch, stefan","rayna, thierry","schaarschmidt, mario","schmidt-keilich, marc","stanko, michael a.","svensson, peter o.","von hippel, christiana d.","wang, yonggui"
"bastian, bettina","diener, kathleen","muñiz, albert m.","ramaprasad, arkalgud","gutstein, adele","bretschneider, ulrich","yordanova, zornitsa","dell'era, claudio","liu, yan","piezunka, henning","jaeger, manuel","moeslein, kathrin m.","dahl, darren w.","nefedova, alena","de gennaro, pamela","faullant, rita","jørgensen, jacob høj","möslein, kathrin m.","mourad, maha","freeman, stephanie","raasch, christina","liukkunen, kari","teo, hock hai","artmayr, philipp","darlington, john","kilian, thomas","schrader, ulf","allen, b. j.","hartmann, rasmus koss","cann, andrew b.","li, dahui"
"bogers, marcel","lüttgens, dirk",,"desouza, kevin c.","brem, alexander","krcmar, helmut","ghasemzadeh, khatereh","pellizzoni, elena","qian, jinfang",,"mortara, letizia","naik, hari suman","prandelli, emanuela","thurner, thomas","marchi, gianluca",,,"schneckenberg, dirk","tolba, ahmed h.","johnson, mikael",,"similä, jouni","ye, hua jonathan","bierbamer, michael","striukova, ludmila",,,,,,
"west, joel","piller, frank t.",,,"ernst, markus","marco, jan leimeister",,"trabucchi, daniel",,,,,"schreier, martin",,,,,"velamuri, vivek k.",,"juntunen, jouni k.",,,,"guceri-ucar, gozem",,,,,,,
,"franke, nikolaus",,,,,,,,,,,"nishikawa, hidehiko",,,,,,,"mäkinen, samuli",,,,"inanc, duygu",,,,,,,
,"ihl, christoph",,,,,,,,,,,"ogawa, susumu",,,,,,,"hyysalo, sampsa",,,,,,,,,,,
,"tarman, refik tarcan",,,,,,,,,,,"pongtanalert, kritinee",,,,,,,,,,,,,,,,,,
,"vossen, alexander",,,,,,,,,,,"prügl, reinhard",,,,,,,,,,,,,,,,,,
,"kleer, robin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"pollok, patrick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"steiner, frank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
