maroon,teal,gold,brown,green,yellow,red,blue,purple,indigo,cyan,magenta,lime,navy,silver,black,crimson,grey,coral,darkblue,darkgreen,darkred,darkviolet,darkorange,darkcyan,darkmagenta,deeppink,dodgerblue,firebrick,forestgreen,greenyellow,hotpink,khaki,lightblue,lightgreen,lightpink,lightslategray,lightseagreen,lightskyblue,limegreen,mediumaquamarine,mediumblue,mediumorchid,mediumpurple,mediumseagreen,mediumturquoise,mediumvioletred,midnightblue,mistyrose,navajowhite,olivedrab,orangered,orchid,palegoldenrod,palegreen,paleturquoise,palevioletred,peachpuff,peru,fuchsia,orange,goldenrod,indianred,papayawhip,lawngreen,pink,lightcoral,plum,lightsalmon,olive,lightsteelblue,mediumslateblue,mediumspringgreen,darkturquoise
"abrate, graziano","adams, pamela","ahvari, hooman","altman, elizabeth j.","andriani, pierpaolo","antorini, yun mi","arvanitis, spyros","awazu, yukika","bae, zong tae","berends, hans","björk, jennie","blohm, ivo","bogers, marcel","brem, alexander","browder, russell e.","buganza, tommaso","cao, xinyan","casadesus-masanell, ramon","chan, tian heong","chandra, yanto","chatterji, aaron k.","chen, xiaohong","chou, jerome chih lung","crocco, edoardo","cui, miao","dahl, darren w.","dahlander, linus","della santa, silvia","di gangi, paul m.","di, paul m.","escobar, octavio","faulkner, philip","fursov, konstantin","globocnik, dietfried","goduscheit, rené chester","gong, yu","hakkarainen, louna","haller, jörg b.a.","hamdi-kidar, linda","hicks, christian","hopkins, michael m.","hossain, mokter","hu, suya","hu, yansong","jahanmir, sara f.","kankanhalli, atreyi","karantinou, kalipso","kim, jieun","koch, stefan","lambert, simon j.","lauritzen, ghita dragsdahl","leidner, dorothy e.","liang, hua","liao, xiao","lin, jie","lu, yaobin","miyazawa, jun ichi","mukherjee, satyam","o'hern, matthew","rauch, madeleine","rayna, thierry","roy, raja","rubalcaba, luis","schaarschmidt, mario","scheid, françois","schmidt-keilich, marc","schulz, michael","shermon, anavir","shin, hyun","smith, sheryl winston","stanko, michael a.","von hippel, christiana d.","wang, lei","xiao, ting"
"baima, gabriele","fontana, roberto","ekhlassi, amir","szulanski, gabriel","de toni, alberto felice","jensen, morten berg","fuchs, barbara","ramaprasad, arkalgud","kang, shin hyung","deken, fleur","magnusson, mats","bretschneider, ulrich","mccarthy, ian p.","bilgram, volker","crider, cole j.","dell'era, claudio","fang, xiang","llanes, gastón","lim, shi ying","leenders, mark a.a.m.","fabrizio, kira","probert, david","dong, tse ping","culasso, francesca","liu, yan","fuchs, christoph","frederiksen, lars","marchi, gianluca","wasko, molly","hooker, robert e.","khvatova, tatiana","runde, jochen","nefedova, alena","faullant, rita","jørgensen, jacob høj","jia, fu","heiskanen, eva","möslein, kathrin m.","keinz, peter","pachamanova, dessislava","miller, roger","leminen, seppo","wang, alan","mcloughlin, damien","lages, luis filipe","kim, seung hyun","goffin, keith","park, yongtae","artmayr, philipp","krivokapic-skoko, branka","la cour, anders","benbya, hind","zhang, zongyi","xi, yunjiang","jiang, xiaoyan","gupta, sumeet","takahashi, shingo","jain, tarun","ye, jun","ansari, shahzad","darlington, john","cohen, susan k.","deschryvere, matthias","kilian, thomas","charue-duboc, florence","schrader, ulf","völckner, franziska","moeen, mahka","rao, p. m.","shah, sonali k.","allen, b. j.","cann, andrew b.","chiao, benjamin","wang, xuan"
"menozzi, anna","malerba, franco","mcdonagh, joe","baldwin, carliss","carignani, giuseppe","nørskov, sladjana","woerter, martin","desouza, kevin c.","kim, joong hyun","feldberg, frans","sandström, gunilla ölundh","krcmar, helmut","pitt, leyland","gladysz, bartosz","garrett, robert p.","pellizzoni, elena","yang, yu",,,"cong, ling mei",,"su, jun","hung, chia liang","giacosa, elisa","qian, jinfang","schreier, martin",,"tagliazucchi, giulia",,"wasko, molly m.","maalaoui, adnane",,"thurner, thomas",,,"shi, yangyan","helminen, pia","schneckenberg, dirk","le nagard, emmanuelle",,"nightingale, paul","westerlund, mika","xu, di",,,"teo, hock hai","sakellariou, evy",,"inanc, duygu",,"salomo, søren","yan, jie (kevin)",,"ye, guangyu","wang, chao","ma, jifeng","yoshida, daichi",,"wu, jiajun",,"striukova, ludmila",,,,,,,,"shin, jongtae",,,,"zhou, yahong","yang, cai"
"pera, rebecca",,,"hienerth, christoph",,,,,,"borner, kathrin","wadell, carl","marco, jan leimeister",,"ernst, markus",,"trabucchi, daniel","chai, ruirui",,,"zhou, michael",,"zhou, yuan",,"yahiaoui, dorra",,"franke, nikolaus",,,,,"schiavone, francesco",,,,,"zhang, yufang","freeman, stephanie","velamuri, vivek k.","vellera, cyrielle",,"tidd, joe","nyström, anna greta",,,,"ye, hua jonathan",,,,,,,,"yu, juan","zhou, lixin",,,,,,,,,,,,,,,,,,,"yang, zhi"
,,,"von hippel, eric",,,,,,,,,,"gutstein, adele",,,"liu, wei",,,,,,,,,"prandelli, emanuela",,,,,"villasalero, manuel",,,,,"sun, yanhua","johnson, mikael",,"vernette, eric",,,"rajahonka, mervi",,,,"li, mingguo",,,,,,,,"zantow, kenneth",,,,,,,,,,,,,,,,,,,,
,,,"chen, jin",,,,,,,,,,"schulz, stefanie",,,,,,,,,,,,"oberhauser, stefan",,,,,"yordanova, zornitsa",,,,,,"juntunen, jouni k.",,,,,"pacauskas, darius",,,,"ye, hua",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"de jong, jeroen p.j.",,,,,,,,,,,,,,,,,,,,,,"prügl, reinhard",,,,,"ghasemzadeh, khatereh",,,,,,"mäkinen, samuli",,,,,"mäntymäki, matti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"su, yu shan",,,,,,,,,,,,,,,,,,,,,,"pasquini, martina",,,,,"raïes, karine",,,,,,"hyysalo, sampsa",,,,,"rajala, risto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"flowers, stephen",,,,,,,,,,,,,,,,,,,,,,"verona, gianmario",,,,,"rivieccio, giorgia",,,,,,"repo, petteri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"gault, fred",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"timonen, päivi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
